frame_nr;type;score;center_x;center_y
166;1;0.12147004454814891;12;65
167;1;0.801526378090019;12;65
168;1;0.7190190061875532;17;65
169;1;0.4974895223923872;17;60
170;1;0.05636937468730907;17;65
171;1;0.5490643486329267;22;65
172;1;0.8261080488511274;22;65
173;1;0.742829392845268;22;60
174;1;0.4970985755273054;26;65
175;1;0.7271644577332685;26;65
176;1;0.43448949902736644;29;62
177;1;0.717453907425041;29;62
178;1;0.4799954399415205;29;62
179;1;0.3909039601632307;29;62
180;1;0.46124322264873485;29;58
181;1;0.4386479958840559;33;62
182;1;0.5289332374879072;33;58
183;1;0.6111993297883223;33;58
184;1;0.57241077273571;33;58
185;1;0.14776117652141552;33;58
186;1;0.3353869423218916;37;58
187;1;0.8214823707886885;37;58
188;1;0.594810913498039;37;58
189;1;0.2554392918893049;37;58
190;1;0.09737266152584056;37;58
192;1;0.7073665365525434;41;58
193;1;0.5024282440491865;41;58
602;0;0.01735892341704759;47;54
606;1;0.2625584110566328;41;54
607;1;0.15656704753124218;41;58
608;0;0.1135127787408391;39;58
609;1;0.8778613313981245;37;58
610;1;0.5936833128281782;37;58
611;0;0.5906409268197576;35;58
612;1;0.92449338286602;33;58
613;0;0.42516806171508226;33;60
614;1;0.6689048513718794;29;58
615;0;0.5538678412255803;28;60
616;0;0.7701546196755925;24;60
617;0;0.43714668796630296;24;60
618;1;0.5464767917939375;22;60
619;0;0.5207655672845403;17;61
620;0;0.41939344451995286;14;60
621;1;0.38941134064876537;12;60
33716;0;0.028097534638361066;51;46
33717;0;0.13634707973571214;47;46
33718;0;0.28552284286590013;43;46
33719;0;0.514120245438532;43;50
33720;0;1.0263157133874454;39;50
33721;0;0.7363955025491277;35;50
33722;0;0.8158509974298039;33;51
33723;0;0.6127217058953801;28;51
33724;0;0.2335316185769597;29;55
33725;0;0.5238496308145085;23;55
33726;0;1.011061573487238;17;55
33727;0;0.7977688555535832;9;55
33760;0;0.11134728239150438;39;54
33761;0;0.16413989112944993;35;54
33762;0;0.40772702739806566;31;54
33763;0;0.23448934600921068;27;54
33764;0;0.33650019214721116;23;58
