frame_nr;type;score;left;top;right;bottom
494;1;0.1084;9;2;25;42
495;1;0.3979;13;2;29;42
496;1;0.4433;13;2;29;42
497;1;0.3004;17;6;33;46
498;1;0.5023;21;6;37;46
499;1;0.6262;21;6;37;46
500;1;0.7846;25;2;41;42
501;1;0.7949;26;-7;45;46
502;0;0.6699;26;7;50;46
503;0;0.7732;26;3;55;49
504;1;0.9163;36;-7;55;46
505;1;0.8329;37;2;53;42
506;1;0.4737;41;2;57;42
507;1;0.3859;45;6;61;46
508;1;0.8260;45;2;64;50
509;1;0.9255;49;6;65;46
510;1;0.4940;50;-7;69;46
511;1;0.5663;55;-7;74;46
512;1;0.8547;55;2;74;50
513;1;1.0116;59;2;79;50
514;1;0.4868;64;2;84;50
515;1;0.9350;64;2;84;50
516;1;0.2376;69;2;88;50
517;1;0.4996;69;2;88;50
518;1;0.3747;73;10;89;50
519;1;0.7445;74;2;93;50
520;1;0.3542;77;6;93;46
521;1;0.9913;79;2;98;50
522;1;0.6171;79;2;98;50
523;1;0.5551;81;10;97;50
524;1;1.0343;85;10;101;50
525;1;0.8453;85;10;101;50
526;1;0.6025;85;10;101;50
527;1;0.6117;85;10;101;50
528;1;0.6273;85;10;101;50
529;1;0.6215;85;10;101;50
530;1;0.6529;85;10;101;50
531;1;0.5747;85;10;101;50
532;1;0.7140;85;10;101;50
533;1;0.5707;85;10;101;50
534;1;0.7127;85;10;101;50
535;1;0.6161;85;10;101;50
536;1;0.6351;85;10;101;50
537;1;0.6686;85;10;101;50
538;1;0.6138;85;10;101;50
539;1;0.7233;85;10;101;50
540;1;0.7083;85;10;101;50
541;1;0.6370;85;10;101;50
542;1;0.7543;85;10;101;50
543;1;0.6620;85;10;101;50
544;1;0.3691;85;10;101;50
545;1;0.1979;85;10;101;50
546;1;0.2515;85;10;101;50
547;1;0.2421;85;10;101;50
548;1;0.2573;85;10;101;50
549;1;0.5612;89;6;105;46
550;1;0.7996;88;2;108;50
551;1;1.1220;88;2;108;50
552;1;0.7955;88;2;108;50
553;1;0.9562;93;2;112;50
554;1;0.5577;93;2;112;50
