frame_nr;type;score;center_x;center_y
76110;0;0.5282227188356188;76;19
76111;0;1.1400510460145739;25;12
76112;0;0.8702123552568224;30;12
76113;0;0.5950472742326525;37;12
76114;0;0.8558528810746935;44;14
76115;0;1.221567431093004;49;14
76116;0;1.0299452930696276;56;17
76117;0;0.9860467106111315;62;17
76118;0;0.8778790622957018;68;17
76119;1;0.1457514568537439;76;7
76120;1;0.18668601953684938;78;18
101796;0;0.2919246941812304;4;12
101797;0;1.0504777818925646;7;12
101798;0;1.0065781265504625;11;12
101799;0;0.6088955789811876;17;12
101800;0;0.540396788717058;20;12
101801;0;0.9648147016771105;28;12
101802;0;0.9925839096315172;32;12
101803;0;0.9420358330018785;40;14
101804;0;0.9937148481614855;44;14
101805;0;0.746639886499193;51;17
101806;0;0.774329939485338;56;17
101807;0;0.9998563915498522;65;17
101808;0;0.7028935343034532;71;17
101809;0;0.3439087659127978;76;19
102414;0;0.5743829995401171;4;12
102415;0;1.577572265268114;8;12
102416;0;1.5139815002687242;13;12
102417;0;1.2209716230638292;18;12
102418;0;0.6913664728410509;23;12
102419;0;0.6571951299913195;28;14
102420;0;0.9778553634889391;32;14
102421;0;1.325784960389879;40;14
102422;0;1.4960207134492662;44;14
102423;0;1.3469443708665636;51;17
102424;0;1.72351364195421;56;17
102425;0;1.4723772197969225;65;17
102426;0;1.1742433696992662;71;19
103556;0;1.2454570919282701;7;12
103557;0;0.7525933176286486;13;12
103558;0;1.1155652195222643;21;12
103559;0;1.0673928648240831;28;14
103560;0;0.6549201399095324;37;14
104906;0;0.9800113826997545;13;12
104907;0;1.0858089119203356;20;12
104908;0;0.9865851789720324;28;14
104909;0;1.2762760311372545;35;14
104910;0;1.7076824098832872;42;14
104911;0;1.426550307870653;51;17
104912;0;1.1865885645158556;59;17
104913;0;1.0266157776124742;68;20
104914;0;0.1507879287011889;77;20
104943;0;1.3875189214952257;8;12
104944;0;1.2227687031038073;13;12
104945;0;0.6739906460054186;18;12
104946;0;0.6194489389665392;25;15
104947;0;1.1295652776963976;32;14
104948;0;1.17080585062578;40;14
104949;0;0.9030819326646593;47;14
104950;0;0.9227399021394518;54;17
104951;0;1.3126590639360216;62;17
104952;0;0.7829977661378649;68;20
104953;0;0.15236846506669793;77;20
105201;0;1.0004471927888658;30;14
105202;0;0.9690874010331896;35;14
105203;0;1.0875006109483507;42;14
105204;0;1.1761870771653917;51;17
105205;0;1.2933137804277208;59;17
105206;0;1.315349259973314;65;17
105207;0;0.6765036970384386;73;19
105221;0;1.2889614492662218;7;12
105222;0;0.942639151216295;11;12
105223;0;1.084123173356798;18;12
105224;0;0.9429663807161119;23;12
105225;0;0.8841652065522936;30;12
105226;0;1.2241574913270739;37;14
105227;0;1.3373525530107286;44;14
105228;0;1.2895578533418444;52;14
105229;0;1.2466816097505358;59;17
105230;0;0.8812593609102037;65;17
105231;0;0.2789206296212939;74;20
113576;0;1.030495801568773;25;12
113577;0;1.200382390619066;30;12
113578;0;0.8964457899339464;36;15
113579;0;0.9384190231569078;42;15
113580;0;0.6474980503328112;49;14
113581;0;1.0640705019243029;56;17
113582;0;1.1604220062501696;65;17
113583;0;0.5517973095186022;71;17
115378;0;1.7013359457261827;8;12
115379;0;1.2696717172868517;13;12
115380;0;1.0327439695604113;19;12
115381;0;0.82715932428911;25;14
115382;0;0.7351156860597399;32;14
115383;0;1.042042055726793;37;14
115384;0;1.6276164442308214;44;14
115385;0;1.1201546579606798;52;14
115386;0;1.502668300271776;59;17
115387;0;0.6960524708040026;64;21
115388;0;0.8502256065614489;7;10
115389;0;1.121198812127855;11;12
115389;1;0.22743097984492433;13;4
115390;0;0.7589503914125231;16;12
115391;0;0.41899708807542596;20;12
115392;0;0.46168784201219354;28;12
115393;0;0.884933868051317;32;14
115394;0;0.8684837013490465;37;14
115395;0;0.9623092800386217;44;14
115396;0;0.9692707449205187;52;14
115397;0;1.0393158584840563;59;17
115398;0;0.8439183622606066;64;21
115399;0;0.4658054500825671;71;20
115400;0;0.2667826205499438;77;20
115440;0;0.3137048274286059;4;12
115441;0;1.2121006637819078;8;12
115442;0;0.9172274261720446;13;12
115443;0;1.0540388017900255;18;12
115444;0;1.3628230482347277;23;12
115445;0;1.1997552305467394;28;14
115446;0;1.3592019468553331;35;14
115447;0;1.2774627596147325;40;14
115448;0;1.1774439007051256;48;17
115449;0;1.2966283947236803;54;17
115450;0;1.4745457559831407;62;17
115451;0;1.271327534318712;68;20
115452;0;0.752958098054674;37;14
115453;0;0.7648045212037828;42;17
115454;0;0.9788701921708849;51;17
115455;0;1.3634119421251085;56;17
115456;0;1.095003882051256;62;17
115457;0;1.2045398145921495;71;19
115458;0;0.3230609089143542;76;22
117768;0;0.43521598875596795;4;12
117769;0;1.3343968778856066;9;12
117770;0;0.8215074926622179;15;12
117771;0;1.218179979921129;20;14
117772;0;0.8906138330705431;25;14
117773;0;1.3868565946824816;32;14
117774;0;1.5878888756044176;40;14
117775;0;1.3746357351548937;47;17
117776;0;1.2324074894197252;54;17
117777;0;1.0734774261720446;62;17
117778;0;1.0202020794160631;71;19
117779;0;0.1196677476175097;77;22
121606;0;0.7492202907808092;4;12
121607;0;0.8164890199907091;8;14
121608;0;0.8814393669374254;13;14
121609;0;1.144618549943712;18;14
121610;0;1.6751273065812853;23;14
121611;0;1.0940670162446764;30;14
121612;0;0.8865449815995958;35;14
121613;0;1.028018870950487;40;14
121614;0;1.6026047855623033;48;17
121615;0;1.6227076441056993;54;17
121616;0;1.7254603296525743;59;17
121617;0;1.5628505140550402;68;20
121618;0;0.5961826831109789;71;22
121619;1;0.14667854749858034;78;23
121635;0;1.3331741482026842;8;14
121636;0;0.7086353689439562;15;14
121637;0;1.2236417919404772;20;14
121638;0;1.642257013917711;28;14
121639;0;1.4354503542192247;35;14
121640;0;1.3955661445863512;42;14
121641;0;1.351680317521837;51;17
121642;0;1.184636393190172;56;17
121643;0;0.9458295494325426;66;19
121644;0;0.532118299604204;73;22
121645;1;0.2625809713572229;79;27
121653;0;1.0611310392625597;7;12
121654;0;0.5940970569856432;13;15
121655;0;0.41656277477815423;18;12
121656;0;0.9878410488374498;25;14
121657;0;0.8403098970659044;32;14
121658;0;0.8525567442186144;37;14
121659;0;0.6245274931199816;45;15
121660;0;1.2196501880891588;54;17
121661;0;1.2213979154832628;59;17
121662;0;0.7637460619218615;68;20
126985;0;1.057461181283739;7;14
126986;0;1.040186086297777;9;14
126987;0;0.9884778648622301;15;14
126988;0;1.2001216799028185;19;12
126989;0;1.0277611404664782;23;14
126990;0;1.1033522278077867;30;14
126991;0;1.476089873910692;35;14
126992;0;1.4953288227327135;42;14
126993;0;0.8467631727464464;47;14
126994;0;1.2584352880723741;54;17
126995;0;1.2942289501436022;59;17
126996;0;0.987678328157213;68;20
126997;0;0.7511059433229235;73;19
126998;0;0.2514099866159228;77;22
128176;0;0.2654851466424731;4;12
128177;0;1.125329056382921;8;12
128178;0;0.7222676664598253;13;12
128179;0;0.7344702869661119;18;14
128180;0;1.0851481348283556;25;14
128181;0;1.1634992748506334;32;14
128182;0;1.4428400188691881;39;15
128183;0;0.6572454363115099;45;17
128184;0;1.195572057367113;54;17
128185;0;0.9374549776323107;59;17
128186;0;1.0732006222017076;68;20
128187;0;0.4389908105142382;77;20
128218;0;1.803115168214586;7;12
128219;0;0.7702325969941881;13;12
128220;0;0.9769205242402819;18;12
128221;0;1.0949321180589464;25;12
128222;0;1.2273548036821154;32;14
128223;0;1.5617844253785875;40;14
128224;0;1.3023664146669176;47;14
128225;0;1.3361342340715197;56;17
128226;0;0.9392333418138292;65;17
128227;0;0.390986719728258;71;22
134673;1;0.1552429004877771;39;19
134674;1;0.5115777059763635;41;19
134677;1;0.3108989998072351;0;13
134678;1;0.37762437307536256;0;13
134679;1;0.2365022703379358;0;6
134680;1;0.17734430277049196;0;4
134681;1;0.45001862489878786;5;13
134682;1;0.6770278021067346;5;13
134683;1;0.8190885587900842;5;13
134684;1;0.29814718210398805;7;13
134685;1;0.6116055055826868;7;15
134686;1;0.19246004068553102;49;19
134688;1;0.2510790630549158;9;4
134689;1;0.17560843670069826;9;4
