frame_nr;type;score;center_x;center_y
70;1;0.09665603488170604;93;54
71;1;0.4007287129708479;97;54
72;1;0.4638187393494795;97;54
73;1;0.9537945494004438;101;54
74;1;0.28659088462078075;105;54
75;1;0.4465302333184431;105;54
76;1;0.372061799461479;109;54
97;1;0.16310901492320995;157;54
99;1;0.026089559490318104;161;50
6049;0;0.17143490360351;107;58
6050;0;0.5500930790719548;107;58
6051;0;0.6292530541238347;103;58
6052;0;1.140195751648859;99;58
6053;0;0.4873284344491521;95;58
6054;0;0.7232741360482732;91;58
6055;0;0.3527441267785588;87;58
6056;0;0.8890439514932195;86;60
6057;0;0.6522256378945867;81;60
6058;0;0.7074419503030339;79;58
6059;0;0.65228047416778;76;60
6060;0;0.7431152109918157;71;58
6061;0;0.8156706337747136;67;60
6062;0;0.7500583176431218;62;60
6063;0;0.907589221459345;57;60
6064;0;0.7945580725488225;57;60
6065;0;0.37302544162841234;52;60
6066;1;0.6457373604127119;49;62
6067;1;0.583565066749687;45;62
6068;1;0.2805289134331892;45;66
6070;0;0.06626399801345262;28;74
6071;0;0.8059783224877873;21;74
6072;0;0.6147510056314031;17;67
6073;0;1.2452141289529362;14;70
6074;1;0.24333287327968578;12;74
6075;1;0.03743619769298534;3;78
10718;0;0.4975815062341252;103;58
10719;0;0.5564825777825871;99;58
10720;0;0.6693812851724187;95;58
10721;0;0.18903484390349778;87;58
10722;0;0.46224668071837816;83;58
10723;0;0.41109659717650804;79;58
10724;0;0.6769732479867497;72;60
10725;0;0.7113589291390935;67;60
10726;0;0.324139023285822;57;60
10727;0;0.6079193596658269;52;60
10728;1;0.5003655061074446;49;62
10731;0;1.038467669945673;21;67
10732;0;0.7180382256326238;14;70
10733;1;0.05274267047130565;9;78
20417;0;0.06697907493682298;139;58
20424;0;0.1990983729180852;111;58
20425;0;1.0509754662332096;107;58
20426;0;1.0318128113565006;103;58
20427;0;0.8979317192849675;99;58
20428;0;0.5128816609200993;95;58
20429;0;0.7085740809258977;91;58
20430;0;0.7150663380441228;87;58
20431;0;0.8836763148126164;81;60
20432;0;0.9651962761697331;79;62
20433;0;0.950970077973322;75;67
20434;0;0.7837999110040227;71;62
20435;0;0.4948247914132634;67;62
20436;0;0.6474603657540837;62;65
20437;0;0.7963718418893376;57;65
20438;0;0.8259974961099187;52;65
20439;1;0.5737198099442671;49;66
20440;1;0.6701694235154341;45;66
20443;0;0.751804137688593;21;74
20444;0;1.826188707810358;17;72
20445;0;0.7976759915170232;9;72
20744;0;0.07146515892119798;147;58
20745;0;0.03482570694060716;143;54
20747;0;0.09626075075240526;139;54
20760;0;0.5215007309731999;110;55
20761;0;0.8321721796807805;107;54
20762;0;0.648276830178217;105;55
20763;0;1.0072459225472965;103;54
20764;0;0.6123723034677068;99;54
20765;0;0.2353255991754094;99;54
20766;0;0.47933580921264085;96;55
20767;0;0.9214281086740056;91;54
20768;0;0.9113608841714421;91;55
20769;0;0.9732467179116765;86;55
20770;0;1.0573488716897526;86;55
20771;0;0.9007233624276677;81;55
20772;1;0.7899293407746504;81;58
20773;0;0.7216580157098332;76;55
20774;0;0.8146606926736394;76;55
20775;0;0.9580435995873967;72;55
20776;0;0.5683400873956242;72;55
20777;0;0.8074689154443303;67;55
20778;0;0.42413702056975755;64;61
20779;0;0.4215901140985051;62;60
20780;0;0.6220064406213323;57;60
20781;1;0.35783858149730663;55;60
20782;0;0.757892275315241;52;61
20783;1;0.8296141132661055;50;60
20784;1;0.4898962482758711;49;62
20785;1;0.7454926475831221;45;62
20786;1;0.27653701155864696;45;62
20790;1;0.4706209406205366;26;67
20791;0;0.7283909563836614;21;67
20792;0;0.6680897717294255;21;67
20793;0;0.5766090397653142;17;67
20794;0;0.14668085620971116;9;67
20795;1;0.46191586106502514;12;70
20796;1;0.2701175913163374;4;70
20863;0;0.0829351191339055;107;58
20864;0;0.5386164431390325;107;58
20865;0;0.47140541122527513;103;58
20866;0;1.1235521082696476;103;58
20867;0;0.34592309043975267;103;58
20868;0;0.6546868328866521;99;58
20869;0;0.44861450241179857;95;58
20870;0;0.3876879458245793;95;58
20871;0;0.7254727129754582;91;58
