000649;P;19;48
000804;P;24;39
023847;B;29;47
040451;B;16;40
048367;B;29;47
049423;B;29;47
054458;B;19;48
069023;B;16;40
069535;B;19;48
073600;B;19;48
073616;B;19;48
073632;P;33;91
087492;B;16;40
087508;B;24;39
087524;B;24;39
087540;B;29;46
087556;B;29;46
087572;B;29;46
087588;B;28;76
087604;B;28;46
087620;B;29;46
087636;B;29;46
087652;B;28;46
087668;B;29;47
097497;B;19;48
097513;P;16;40
097529;B;19;48
097631;B;23;57
099142;B;23;57
099233;B;23;57
099249;P;19;53
099265;B;16;40
113047;B;28;47
124920;B;28;46
125538;B;28;46
126672;B;28;46
128025;B;28;47
128065;B;35;55
128332;P;23;57
128348;B;24;39
128364;B;24;39
128380;B;24;39
128396;B;29;46
128412;B;29;46
128428;B;28;46
128444;B;29;46
128460;B;16;40
128476;B;28;46
128492;B;35;55
128508;B;29;47
128524;B;19;48
136695;B;29;47
138510;B;28;46
138526;B;27;76
138568;B;29;47
138584;P;16;40
138600;B;29;46
140890;B;29;46
144739;B;23;58
144773;B;19;48
144789;B;29;46
144805;B;29;46
144821;B;29;46
144837;B;24;38
144853;B;29;46
144869;B;29;46
144885;B;28;46
144901;B;29;47
144917;B;29;47
144933;B;19;48
150107;B;16;40
151296;B;29;47
151336;B;29;47
157861;P;19;48
157877;B;20;32
158341;B;35;55
158429;B;19;48
159052;B;28;46
176356;B;16;40
