frame_nr;type;score;left;top;height;width
31328;0;1.2019458204515245;6;6;88;59
31329;0;1.540105143190172;26;6;88;58
31330;0;0.8957913309343126;35;6;88;59
31331;0;1.5032488495118883;54;6;88;59
31332;0;1.3478575140245226;74;6;88;58
31333;0;1.1091169506318834;93;6;88;58
31334;0;0.9616476684816149;100;-15;116;70
31335;0;0.935670533777025;131;6;88;59
31336;0;0.8421029239900377;150;16;87;59
31337;0;1.2754410892732408;158;8;105;70
31338;0;1.415621557832506;181;8;105;70
31339;0;1.2881327062852648;204;8;105;70
31340;0;1.2041552454240587;215;19;105;70
31341;0;1.323429265619066;238;19;105;70
31342;0;0.502307930589464;261;19;105;70
31343;0;0.1981463819749621;285;37;73;49
45904;0;1.5271830946214464;141;16;87;58
45905;0;1.049341598153856;170;16;87;58
45906;0;1.1394482046373156;192;19;105;70
45907;0;1.046770730615404;227;19;105;70
45908;0;0.5574461609132555;266;35;87;58
46408;0;0.18790129721238885;-11;13;73;57
46409;0;1.1605515867479113;6;6;88;59
46410;0;0.7752764612443712;29;13;73;49
46411;0;0.887913981080797;45;6;88;58
46412;0;1.242888608575609;64;6;88;58
46413;0;0.8089101701982286;93;16;87;58
46414;0;1.1817460447557238;112;16;87;59
46415;0;0.7000342994935778;123;19;105;70
46416;0;0.7930318504579332;158;8;105;70
46417;0;1.2623440414674547;181;19;105;70
46418;0;1.4549992471940782;215;19;105;70
46419;0;0.9020631700761583;238;31;105;70
50451;0;0.5186663061387804;5;13;73;49
50452;0;0.7577255159623888;6;6;88;59
50453;0;0.8027422815568712;16;6;88;59
50454;0;0.5586101800210741;26;6;88;58
50455;0;0.7057283312089708;35;6;88;59
50456;0;0.5882126480348375;45;6;88;58
50457;0;0.7643442541368273;54;6;88;59
50458;0;0.48146394789293084;74;6;88;58
50459;0;0.711991825700548;83;6;88;59
50460;0;0.5613921672113207;93;6;88;58
50461;0;1.2861277252443102;5;21;73;49
50462;0;1.5619081646211412;6;16;87;59
50463;0;1.101667085290697;16;16;87;59
50464;0;0.708943524957445;26;16;87;58
50464;0;0.635865846277025;135;8;105;70
50465;0;1.0424440294511583;35;6;88;59
50466;0;1.1151047140367296;45;6;88;58
50467;0;1.0973798424012926;54;6;88;59
50468;0;1.0323238760240343;64;16;87;58
50468;0;0.8185116440065172;192;8;105;70
50469;0;1.0989859491594103;83;16;87;59
50469;0;0.9003851801164415;204;19;105;70
50470;0;1.284196415544298;93;16;87;58
50471;0;1.2685051351793077;102;16;87;59
50471;0;1.1180129438646105;238;19;105;70
50472;0;1.0864258199937609;250;19;105;70
50472;0;0.9937771946199205;112;16;87;59
50473;0;0.9361427217729357;112;8;105;70
50474;0;0.9647903829820421;123;8;105;70
50475;0;1.0464308649308947;135;8;105;70
50476;0;1.095301070810106;146;8;105;70
50477;0;1.3367331415422228;158;8;105;70
50478;0;1.2515331894166735;181;8;105;70
50479;0;1.3064349085099962;192;19;105;70
50480;0;1.636693039537218;204;19;105;70
50481;0;1.2474713712938097;215;19;105;70
50482;0;1.03017286360338;227;19;105;70
50483;0;0.7503689914949205;238;19;105;70
50484;0;0.7119199424989489;256;35;87;59
50485;0;0.29191050827577386;273;31;105;70
50486;1;0.2664559885233606;294;26;96;40
64356;0;0.41452215015962396;-19;13;73;57
64357;0;1.1022526413209703;5;13;73;49
