frame_nr;type;score;left;top;height;width
135939;0;0.22934506237581048;10;10;125;84
135940;0;0.13511476814821038;10;-46;140;84
135941;0;0.1813345938928393;8;8;105;70
135942;0;0.3607490450151232;8;8;105;70
135943;0;0.19715229570939813;8;8;105;70
135946;1;0.23479781591593873;13;13;81;33
135947;1;0.18598757230937135;13;21;81;33
135948;1;0.37164364301859987;5;21;81;33
135949;1;0.13623426401316774;-32;-46;154;70
135950;1;0.34715763771235597;-19;21;81;41
135951;1;0.3492855831354822;-19;21;81;41
135952;1;0.4836483999460901;-19;13;81;41
153236;0;0.3758308678872851;-11;13;73;57
153237;0;0.6927825599916246;6;16;87;59
153238;0;0.2881246000535754;35;6;88;59
153239;0;0.8693066030748156;54;6;88;59
153240;0;1.0160310655839708;83;16;87;59
153241;0;1.2754228502519396;102;16;87;59
153242;0;0.637243667245653;131;16;87;59
153243;0;0.6701339870698717;146;19;105;70
153244;0;1.0987672001130846;181;19;105;70
153245;0;0.9880822092302111;218;26;87;58
153246;0;0.8694758802659777;238;31;105;70
153247;0;0.37707034647538934;266;54;88;58
