000092;P;16;40
000115;P;19;48
006091;B;20;40
010749;B;16;40
020461;B;35;46
020812;B;24;48
021050;B;16;40
021095;B;24;48
036575;B;20;40
046390;B;24;48
052464;B;16;40
054092;B;24;48
055368;B;29;57
055384;P;23;58
055400;B;29;46
059269;P;19;48
059329;B;24;48
059345;B;23;38
080466;B;24;48
082814;B;20;40
084077;B;24;48
085825;B;29;39
086735;B;29;38
095594;B;24;48
095645;B;24;48
095723;B;24;48
096157;B;29;57
096173;B;28;46
098048;B;29;58
104322;B;19;48
105355;B;24;48
113079;P;20;32
113189;P;29;58
113205;B;19;48
113221;P;16;40
113708;B;19;48
117742;B;20;40
121398;B;19;48
121577;B;20;40
121593;B;16;40
121609;B;23;38
122642;B;20;40
124430;B;16;40
125053;B;16;40
125771;B;24;48
125787;B;24;38
125861;B;24;39
126028;B;29;58
126044;P;19;48
141438;B;20;40
142535;B;16;40
142641;B;20;40
143178;B;20;40
151757;B;16;40
152761;P;19;48
152811;B;24;48
154045;B;24;48
154061;B;24;39
212250;P;16;40
