723;-1;6;6;88;59;1.4742398649461534;-1;-1
724;-1;37;13;73;49;1.196533718705919;-1;-1
725;-1;61;13;73;49;1.2149300962693956;-1;-1
726;-1;83;16;87;59;0.7223389536149767;-1;-1
727;-1;112;16;87;59;0.9107835680253771;-1;-1
728;-1;141;16;87;58;1.1553941160447863;-1;-1
729;-1;170;16;87;58;1.2262593895204332;-1;-1
730;-1;192;19;105;70;1.4753002315767076;-1;-1
731;-1;227;19;105;70;1.0446387916810778;-1;-1
732;-1;161;-102;240;145;0.24740842878892694;-1;-1
733;-1;294;54;97;40;0.20234952413737428;-1;-1
17330;-1;102;16;87;59;0.3918292909868029;-1;-1
17331;-1;131;16;87;59;0.6126799970872667;-1;-1
17332;-1;160;16;87;59;0.9300417095430162;-1;-1
17333;-1;181;8;105;70;0.5766336709268358;-1;-1
17334;-1;215;19;105;70;0.772581139207628;-1;-1
17335;-1;246;26;87;59;0.6042924910791185;-1;-1
25243;-1;6;6;88;59;1.476621666551378;-1;-1
25244;-1;26;6;88;58;1.2447915464647081;-1;-1
25245;-1;45;6;88;58;1.0672759205110338;-1;-1
25246;-1;74;6;88;58;1.0623904854066637;-1;-1
25247;-1;93;16;87;58;0.46290127337053094;-1;-1
25248;-1;121;16;87;59;0.8883120208986071;-1;-1
25249;-1;150;16;87;59;1.1524377256639269;-1;-1
25250;-1;179;16;87;59;1.3765721708543566;-1;-1
25251;-1;192;19;105;70;1.1859115749604967;-1;-1
25252;-1;217;24;125;84;1.063830056787279;-1;-1
25253;-1;266;35;87;58;0.6598663717515734;-1;-1
26300;-1;6;16;87;59;1.3980935007341173;-1;-1
26301;-1;26;16;87;58;1.020550289750841;-1;-1
26302;-1;54;16;87;59;1.4359314829118517;-1;-1
26303;-1;74;16;87;58;0.8862228780992296;-1;-1
26304;-1;102;16;87;59;1.0795836836107042;-1;-1
26305;-1;131;16;87;59;1.3299285560853746;-1;-1
26306;-1;160;26;87;59;0.9358404070146349;-1;-1
26307;-1;192;19;105;70;1.686744490266588;-1;-1
26308;-1;227;19;105;70;1.0304038912065294;-1;-1
26309;-1;250;31;105;70;0.48360041678025995;-1;-1
26310;-1;294;64;97;40;0.19704560482203615;-1;-1
31308;-1;-19;13;73;57;0.20235822498872552;-1;-1
31309;-1;5;13;73;49;1.3179877191789415;-1;-1
31310;-1;13;13;73;49;0.6681024223573473;-1;-1
31311;-1;29;13;73;49;0.5398211270578173;-1;-1
31312;-1;45;13;73;49;0.6310254722841051;-1;-1
31313;-1;54;16;87;59;0.5083900481469896;-1;-1
31314;-1;65;8;105;71;0.3408124238260058;-1;-1
31315;-1;93;16;87;58;0.35832403004243646;-1;-1
31316;-1;100;8;105;70;0.3149109274156359;-1;-1
31317;-1;131;16;87;59;0.7203588873155382;-1;-1
31318;-1;150;16;87;59;0.4811330229051379;-1;-1
31319;-1;170;16;87;58;0.8594907909639147;-1;-1
31320;-1;181;19;105;70;0.8265792518861559;-1;-1
31321;-1;204;19;105;70;0.9770336538560656;-1;-1
31322;-1;217;24;125;84;0.41547135412767205;-1;-1
31323;-1;238;31;105;70;0.39047650396898065;-1;-1
31324;-1;250;42;105;70;0.5293392330415514;-1;-1
31325;-1;294;54;97;40;0.177018682596084;-1;-1
31326;-1;-19;13;73;57;0.31964830458238397;-1;-1
31327;-1;5;13;73;49;1.2158610016114977;-1;-1
31328;-1;6;6;88;59;1.2019458204515245;-1;-1
31329;-1;26;6;88;58;1.540105143190172;-1;-1
31330;-1;35;6;88;59;0.8957913309343126;-1;-1
31331;-1;54;6;88;59;1.5032488495118883;-1;-1
31332;-1;74;6;88;58;1.3478575140245226;-1;-1
