frame_nr;type;score;left;top;right;bottom
20795;1;0.4619;2;46;21;94
20796;1;0.2701;-8;46;16;94
20863;0;0.0829;97;42;117;74
20864;0;0.5386;97;42;117;74
20865;0;0.4714;93;42;113;74
20866;0;1.1236;93;42;113;74
20867;0;0.3459;93;42;113;74
20868;0;0.6547;89;42;109;74
20869;0;0.4486;85;42;105;74
20870;0;0.3877;85;42;105;74
20871;0;0.7255;81;42;101;74
20872;0;0.6833;81;42;101;74
20873;0;0.6958;77;42;97;74
20874;0;0.8943;77;42;97;74
20875;0;0.6870;74;41;98;79
20876;0;0.7927;74;41;98;79
20877;0;0.9214;73;42;93;74
20878;0;0.9159;69;41;93;79
20879;0;1.1055;69;41;93;79
20880;0;1.3370;69;42;89;74
20881;0;0.9534;64;41;88;79
20882;0;0.9854;65;42;85;74
20883;0;0.7674;60;44;89;90
20884;0;0.7091;59;41;84;79
20885;0;0.4643;55;44;83;90
20886;0;0.7948;55;44;83;90
20887;0;0.6702;55;46;79;84
20888;0;0.4871;49;44;78;90
20889;0;0.9894;49;44;78;90
20890;0;1.1207;49;44;78;90
20891;0;0.8445;49;44;78;90
20892;0;0.7221;49;44;78;90
20893;0;0.4548;49;44;78;90
20894;0;0.3703;49;44;78;90
20895;0;0.3394;50;50;74;89
20896;0;0.5775;50;50;74;89
20897;0;0.6014;50;50;74;89
20898;0;0.4877;50;50;74;89
20899;0;0.6716;50;50;74;89
20900;0;0.7171;50;50;74;89
20901;0;0.5424;49;44;78;90
20902;0;0.4507;49;44;78;90
20903;0;0.6145;49;44;78;90
20904;0;0.6378;49;44;78;90
20905;0;0.5308;49;44;78;90
20906;0;0.2795;49;49;78;95
20907;0;0.2841;49;49;78;95
20908;0;0.1567;49;49;78;95
20909;0;0.2708;49;49;78;95
20910;0;0.3607;49;49;78;95
20911;0;0.3782;50;50;74;89
20912;0;0.2877;49;49;78;95
20913;0;0.3227;49;44;78;90
20914;0;0.3348;49;44;78;90
20915;0;0.3466;49;44;78;90
20916;0;0.3566;49;44;78;90
20917;0;0.3730;49;44;78;90
20918;0;0.3351;49;44;78;90
20919;0;0.4852;49;44;78;90
20920;0;0.4450;49;44;78;90
20921;0;0.3449;49;44;78;90
20922;0;0.3216;50;50;74;89
20923;0;0.3806;49;44;78;90
20924;0;0.3566;50;50;74;89
20925;0;0.2404;49;44;78;90
20926;0;0.1979;49;44;78;90
20927;0;0.3194;49;44;78;90
20928;0;0.2857;49;44;78;90
20929;0;0.2866;49;44;78;90
20930;0;0.2397;49;49;78;95
20931;0;0.2237;49;49;78;95
20932;0;0.6723;49;49;78;95
20933;0;0.5539;49;49;78;95
20934;0;0.6711;49;44;78;90
20935;0;0.6017;49;44;78;90
20936;0;0.7329;49;44;78;90
20937;0;0.5997;49;44;78;90
20938;0;0.5907;49;44;78;90
20939;0;0.6702;49;44;78;90
20940;0;0.5750;49;44;78;90
20941;0;0.6217;49;44;78;90
20942;0;0.6839;49;44;78;90
20943;0;0.6525;49;44;78;90
20944;0;0.8530;49;44;78;90
20945;0;0.9028;49;44;78;90
20946;0;0.7497;49;44;78;90
20947;0;0.8202;49;44;78;90
20948;0;0.9531;49;44;78;90
20949;0;0.8708;49;44;78;90
20950;0;0.9192;49;44;78;90
20951;0;0.9497;49;44;78;90
20952;0;0.9437;49;44;78;90
20953;0;1.0307;49;44;78;90
20954;0;1.0381;49;44;78;90
20955;0;0.9554;49;44;78;90
20956;0;0.7928;49;44;78;90
20957;0;0.6068;49;44;78;90
20958;0;0.5546;49;44;78;90
20959;0;0.5663;49;44;78;90
20960;0;0.6338;49;44;78;90
20961;0;0.4934;49;44;78;90
20962;0;0.5611;49;44;78;90
20963;0;0.4118;50;50;74;89
20964;0;0.6207;43;44;72;90
20965;0;0.6270;45;50;69;89
20966;1;0.0200;45;46;61;86
20967;0;0.0593;40;46;64;84
20968;0;0.3259;37;44;66;90
20969;0;0.2294;37;44;66;90
20970;0;0.1662;40;50;64;89
20971;1;0.2735;45;46;61;86
20972;1;0.2939;45;46;61;86
20973;1;0.5680;45;46;61;86
20974;1;0.3643;45;46;61;86
20975;1;0.3409;45;46;61;86
20976;1;0.2998;40;41;59;89
20977;1;0.2488;40;41;59;89
20978;1;0.4291;40;41;59;89
20979;1;0.3729;40;41;59;89
20980;1;0.2236;40;41;59;89
20981;1;0.0563;40;41;59;89
20987;1;0.0220;36;41;55;89
20988;1;0.1873;36;41;55;89
20989;1;0.1781;36;41;55;89
20990;1;0.1043;37;42;53;82
20991;1;0.1551;36;41;55;89
20992;1;0.2275;36;41;55;89
20993;1;0.1095;36;41;55;89
20994;1;0.1149;36;41;55;89
20995;1;0.0566;36;41;55;89
20996;1;0.1008;37;42;53;82
20997;1;0.1482;36;41;55;89
20998;1;0.2100;36;41;55;89
20999;1;0.1964;36;41;55;89
21000;1;0.2014;36;41;55;89
21001;1;0.2016;36;41;55;89
21002;1;0.2489;36;41;55;89
21003;1;0.4644;36;41;55;89
21004;1;0.6288;36;41;55;89
21005;1;0.5144;36;41;55;89
21006;1;0.4152;36;41;55;89
21007;1;0.4310;36;41;55;89
21008;1;0.4797;36;41;55;89
21009;1;0.3847;36;41;55;89
21010;1;0.2565;36;41;55;89
21011;1;0.1405;37;42;53;82
21012;1;0.1794;37;42;53;82
21013;1;0.2662;36;41;55;89
21014;1;0.2782;36;41;55;89
21015;1;0.3490;36;41;55;89
21016;1;0.3376;36;41;55;89
21017;1;0.3167;36;41;55;89
21018;1;0.3996;36;41;55;89
21019;1;0.5686;36;41;55;89
21020;1;0.3509;36;41;55;89
21021;1;0.2526;41;46;57;86
21022;1;0.1504;41;46;57;86
21023;1;0.2583;40;41;59;89
21024;1;0.1846;41;46;57;86
21025;1;0.1959;36;41;55;89
21026;1;0.3616;36;41;55;89
21027;1;0.1085;36;41;55;89
21028;1;0.1396;41;50;57;90
21029;1;0.2577;41;50;57;90
21030;1;0.3176;41;50;57;90
21031;1;0.2908;41;50;57;90
21032;1;0.1429;37;46;53;86
21033;1;0.1872;37;46;53;86
21034;1;0.2688;37;46;53;86
21070;0;0.1818;4;46;38;101
21071;0;0.5133;4;46;38;101
21072;0;1.1689;3;49;31;95
21073;0;0.9752;3;49;31;95
21074;0;0.3626;3;49;31;95
21075;0;0.4344;-9;49;26;95
21076;0;0.1298;2;55;26;94
21077;1;0.3319;2;50;21;98
21079;1;0.0754;-8;50;16;98
36542;0;0.2165;97;42;117;74
36543;0;0.1804;88;41;112;79
36544;0;0.3197;85;42;105;74
36545;0;0.2744;79;41;103;79
36546;0;0.7136;74;41;98;79
36547;0;0.4068;69;41;93;79
36548;0;0.2468;60;44;89;90
36549;0;0.6665;61;46;81;78
36550;0;0.4644;55;46;79;84
36551;0;0.7866;50;46;74;84
36552;1;0.7577;49;46;65;86
36553;0;0.6019;36;46;59;84
36554;1;0.7004;37;46;53;86
36556;1;0.4046;14;44;37;101
36557;0;0.8826;4;46;38;101
36558;0;0.9631;2;55;26;94
36559;1;0.3396;-7;54;13;94
46345;0;0.2937;97;42;117;74
46346;0;0.4422;97;42;117;74
46347;0;0.8943;93;42;113;74
46348;0;0.8428;89;42;109;74
46349;0;0.8580;85;42;105;74
46350;0;0.3763;84;41;108;79
46351;0;0.2008;81;42;101;74
46352;0;0.8772;74;41;98;79
46353;0;0.7129;73;42;93;74
46354;0;0.8094;69;41;93;79
46355;0;0.8882;64;41;88;79
46356;0;0.5702;64;41;88;79
46357;0;0.8499;59;41;84;79
46358;0;1.0183;55;41;79;79
46359;0;0.5331;53;46;73;78
46360;0;0.8420;50;41;74;79
46361;0;0.5791;43;44;72;90
46362;1;0.8283;49;42;65;82
46363;0;1.1318;40;46;64;84
46364;0;0.7015;36;46;59;84
46365;0;0.5543;36;46;59;84
46366;1;0.7053;37;46;53;86
46367;1;0.0353;33;46;49;86
46369;1;0.1288;16;41;36;89
46370;0;0.7229;4;46;38;101
46371;0;1.4035;3;49;31;95
46372;0;1.0907;3;49;31;95
46373;0;0.3714;-9;49;26;95
46374;1;0.1217;-8;50;16;98
52430;0;0.1010;97;42;117;74
52432;0;0.2813;84;41;108;79
52433;0;0.3496;79;41;103;79
52434;0;0.4839;77;46;97;78
52435;0;0.4343;73;46;93;78
52436;0;0.3984;64;46;88;84
52437;0;0.4352;61;46;81;78
52438;0;0.7176;55;46;79;84
52439;0;0.9929;50;46;74;84
52440;0;0.9852;45;46;69;84
52441;0;1.1777;40;46;64;84
52442;0;0.7420;36;46;59;84
52443;1;0.2095;37;50;53;90
52445;1;0.6756;16;46;36;94
52446;0;1.3322;3;49;31;95
52447;0;1.2053;2;55;26;94
52448;1;0.8752;1;54;17;94
54050;0;0.1568;97;42;117;74
54051;0;0.1147;93;42;113;74
54052;0;0.1267;89;42;109;74
54054;0;0.1231;79;41;103;79
54055;0;0.1343;79;41;103;79
54056;0;0.8532;74;41;98;79
54057;0;0.5784;73;42;93;74
54058;0;0.4029;69;46;89;78
54059;0;0.2526;65;46;85;78
54060;0;0.4863;65;46;85;78
54061;0;0.3364;59;46;84;84
54062;0;0.6128;55;46;79;84
54063;0;0.8355;50;46;74;84
54064;0;1.0825;45;46;69;84
54065;0;0.6049;45;46;69;84
54066;0;1.0537;40;46;64;84
54067;0;1.0252;36;46;59;84
54068;1;0.9283;37;46;53;86
54069;1;0.3586;37;50;53;90
54072;0;0.3164;8;49;37;95
54073;0;0.8174;3;49;31;95
54074;0;1.0452;3;49;31;95
54075;1;1.0139;2;50;21;98
54076;1;0.1362;-8;50;16;98
55298;0;0.3006;137;42;157;74
55299;0;0.3574;97;42;117;74
55300;0;0.5194;97;42;117;74
55301;0;0.6944;93;42;113;74
55302;0;0.7434;88;41;112;79
55303;0;0.8132;89;42;109;74
55304;0;0.7105;85;42;105;74
55305;0;0.4553;79;41;103;79
55306;0;0.5830;79;41;103;79
55307;0;0.2253;69;41;93;79
55308;0;0.2564;69;42;89;74
55309;0;0.5104;97;42;117;74
55310;0;0.2246;93;42;113;74
55311;0;0.5670;59;41;84;79
55312;0;0.4034;88;41;112;79
55312;1;0.0844;61;42;77;82
55313;0;0.2723;55;41;79;79
55314;1;0.2290;55;41;74;89
55315;0;0.4752;50;46;74;84
55315;0;0.3692;81;42;101;74
55316;0;0.6317;45;46;69;84
55316;1;0.5024;50;41;69;89
55317;0;0.3039;74;41;98;79
55317;1;0.2738;45;41;64;89
55318;0;0.6628;37;44;66;90
55318;1;0.5627;45;41;64;89
55319;0;0.5719;37;44;66;90
55319;1;0.4672;40;41;59;89
55319;1;0.0532;73;38;89;78
55320;1;0.6342;40;41;59;89
55320;0;0.3710;31;44;60;90
55321;1;0.0466;36;41;55;89
55322;1;0.2043;37;46;53;86
55323;1;0.4558;37;46;53;86
55325;1;0.2112;61;38;77;78
55326;0;0.3342;55;41;79;79
55327;1;0.1485;14;38;37;95
55328;1;0.4352;14;38;37;95
55328;1;0.3690;55;36;74;84
