frame_nr;type;score;left;top;right;bottom
166;1;0.1215;2;41;21;89
167;1;0.8015;2;41;21;89
168;1;0.7190;7;41;26;89
169;1;0.4975;7;36;26;84
170;1;0.0564;7;41;26;89
171;1;0.5491;12;41;31;89
172;1;0.8261;12;41;31;89
173;1;0.7428;12;36;31;84
174;1;0.4971;16;41;36;89
175;1;0.7272;16;41;36;89
176;1;0.4345;21;42;37;82
177;1;0.7175;21;42;37;82
178;1;0.4800;21;42;37;82
179;1;0.3909;21;42;37;82
180;1;0.4612;21;38;37;78
181;1;0.4386;25;42;41;82
182;1;0.5289;25;38;41;78
183;1;0.6112;25;38;41;78
184;1;0.5724;25;38;41;78
185;1;0.1478;25;38;41;78
186;1;0.3354;29;38;45;78
187;1;0.8215;29;38;45;78
188;1;0.5948;29;38;45;78
189;1;0.2554;29;38;45;78
190;1;0.0974;29;38;45;78
192;1;0.7074;33;38;49;78
193;1;0.5024;33;38;49;78
602;0;0.0174;37;38;57;70
606;1;0.2626;33;34;49;74
607;1;0.1566;33;38;49;78
608;0;0.1135;29;42;49;74
609;1;0.8779;29;38;45;78
610;1;0.5937;29;38;45;78
611;0;0.5906;25;42;45;74
612;1;0.9245;25;38;41;78
613;0;0.4252;21;41;45;79
614;1;0.6689;21;38;37;78
615;0;0.5539;16;41;40;79
616;0;0.7702;12;41;36;79
617;0;0.4371;12;41;36;79
618;1;0.5465;12;36;31;84
619;0;0.5208;3;38;31;84
620;0;0.4194;2;41;26;79
621;1;0.3894;2;36;21;84
33716;0;0.0281;41;30;61;62
33717;0;0.1363;37;30;57;62
33718;0;0.2855;33;30;53;62
33719;0;0.5141;33;34;53;66
33720;0;1.0263;29;34;49;66
33721;0;0.7364;25;34;45;66
33722;0;0.8159;21;31;45;70
33723;0;0.6127;16;31;40;70
33724;0;0.2335;14;32;43;78
33725;0;0.5238;8;32;37;78
33726;0;1.0111;3;32;31;78
33727;0;0.7978;-9;32;26;78
33760;0;0.1113;29;38;49;70
33761;0;0.1641;25;38;45;70
33762;0;0.4077;21;38;41;70
33763;0;0.2345;17;38;37;70
33764;0;0.3365;13;42;33;74
33765;0;0.4386;7;41;31;79
33766;0;1.0156;2;41;26;79
33767;0;0.6785;1;46;21;78
33768;0;0.4760;37;30;57;62
33769;0;0.6202;37;30;57;62
33770;0;0.5551;33;34;53;66
33771;0;1.0087;29;34;49;66
33772;0;1.1548;26;31;50;70
33773;0;1.2768;21;31;45;70
33774;0;1.0363;16;31;40;70
33775;0;0.7050;12;31;36;70
33776;0;1.3379;3;32;31;78
33777;0;0.8936;2;36;26;74
33778;1;0.4997;1;34;17;74
36667;0;0.4045;25;38;45;70
36668;0;0.3544;21;38;41;70
36669;0;0.1728;12;36;36;74
36670;0;1.1852;2;41;26;79
36671;0;0.1264;-8;41;21;79
36692;0;0.0857;33;38;53;70
36693;0;0.6673;29;38;49;70
36694;0;0.5985;25;38;45;70
36695;0;0.6711;17;38;37;70
36696;0;0.7845;12;36;36;74
36697;0;0.8105;7;36;31;74
36698;0;0.5818;-8;36;21;74
36699;1;0.3198;-7;38;13;78
36729;0;0.1697;29;38;49;70
36731;0;0.2254;25;38;45;70
36733;0;0.4477;12;36;36;74
36734;0;0.7512;7;36;31;74
36735;0;1.0467;2;41;26;79
36736;0;0.3943;-8;41;21;79
36748;0;0.2090;29;38;49;70
36749;0;0.7292;25;38;45;70
36750;0;0.5349;21;38;41;70
36751;0;0.3550;17;42;37;74
36752;0;0.2219;7;41;31;79
36753;0;1.2044;2;41;26;79
36754;0;1.0417;-8;41;21;79
36755;0;0.4070;29;34;49;66
36756;0;0.4687;29;38;49;70
36757;0;0.6449;25;38;45;70
36758;0;0.5935;21;38;41;70
36759;0;0.4740;16;36;40;74
36760;0;0.3201;12;36;36;74
36761;0;0.1561;7;36;31;74
36762;0;0.8426;3;32;31;78
36763;0;0.5658;-9;32;26;78
36774;1;0.0532;25;34;41;74
36777;0;0.0224;12;36;36;74
36778;1;0.1901;12;31;31;79
36781;1;0.3034;2;31;21;79
36783;0;0.1203;2;36;26;74
36784;0;0.2805;-8;36;21;74
36796;0;0.1240;29;38;49;70
36797;0;0.9997;29;38;49;70
36798;0;1.0727;29;38;49;70
36799;0;0.7308;29;38;49;70
36800;0;0.5674;29;38;49;70
36801;0;0.2769;29;38;49;70
36802;0;0.3987;26;38;55;84
36803;0;0.3257;26;38;55;84
36805;0;0.3588;20;38;49;84
36806;0;0.5359;5;30;46;96
36807;0;0.8127;4;39;38;94
36808;1;0.7626;4;32;31;101
36837;0;0.2028;29;38;49;70
36838;0;0.1038;29;38;49;70
36839;0;0.5570;25;38;45;70
36840;0;0.7133;21;38;41;70
36841;0;0.3012;17;42;37;74
36842;0;0.7149;7;36;31;74
36843;0;0.9301;2;41;26;79
36844;0;0.5289;-8;41;21;79
36884;0;0.1344;29;34;49;66
36885;0;0.4745;25;34;45;66
36886;0;0.6653;21;38;41;70
36887;0;0.9864;17;38;37;70
36888;0;0.4620;7;36;31;74
36889;0;1.3363;2;36;26;74
36890;0;0.1659;-8;36;21;74
36911;0;0.2423;21;38;41;70
36912;0;0.2956;17;38;37;70
36913;0;0.0420;12;36;36;74
36914;0;0.0885;7;41;31;79
36915;0;1.1946;2;41;26;79
36916;0;0.9700;-8;41;21;79
36917;0;0.0102;37;30;57;62
36919;0;0.0532;33;34;53;66
36920;0;0.7077;29;34;49;66
36921;1;0.3167;29;34;45;74
36922;1;0.5076;25;34;41;74
36923;1;0.1293;21;34;37;74
36924;1;0.1455;16;31;36;79
36925;1;0.1590;16;31;36;79
36926;1;0.1738;12;31;31;79
36927;0;0.3835;3;32;31;78
36928;1;0.2228;4;18;31;87
36929;1;0.2489;4;18;31;87
36932;1;0.1241;2;36;21;84
36933;1;0.0281;-8;36;16;84
36940;0;0.3004;29;34;49;66
36941;0;0.0735;25;34;45;66
36942;0;0.2681;16;36;40;74
36943;0;0.2782;12;36;36;74
36944;0;0.5512;3;32;31;78
36945;0;0.4277;1;46;21;78
37380;0;0.0377;-7;42;17;74
37384;0;0.3420;-8;41;21;79
37437;0;0.0725;37;34;57;66
37438;0;0.2323;37;34;57;66
37439;0;0.4130;33;34;53;66
37440;0;0.6925;29;34;49;66
37441;0;0.3236;25;34;45;66
37442;0;0.4594;25;34;45;66
37443;0;0.9434;21;38;41;70
37444;0;0.7242;17;38;37;70
37445;0;0.7190;16;36;40;74
37446;0;0.9004;12;36;36;74
37447;0;1.0335;7;36;31;74
37448;0;0.8769;3;38;31;84
37449;0;0.5864;3;38;31;84
37450;0;0.0115;2;41;26;79
37582;0;0.0629;37;30;57;62
37585;0;0.5989;29;34;49;66
37586;0;0.5943;25;34;45;66
37587;1;1.0746;25;34;41;74
37588;1;0.6171;21;34;37;74
37589;1;0.5971;16;31;36;79
37590;1;0.5192;12;31;31;79
37591;0;1.0379;3;32;31;78
37592;0;0.6165;2;41;26;79
37593;1;0.3806;1;38;17;78
37907;1;0.0859;-7;30;13;70
37908;1;0.3657;-9;26;20;84
37909;0;0.1147;2;74;26;113
37910;1;0.5614;4;25;31;94
37911;1;0.4153;5;22;38;105
37912;1;0.3681;6;17;46;116
37913;1;0.4194;17;25;45;94
37914;1;0.7369;21;22;55;105
37915;1;0.5026;30;22;63;105
37916;1;0.4434;30;30;63;113
37917;1;0.4659;38;22;71;105
37918;1;0.7555;46;30;79;113
37919;1;0.6173;46;26;86;126
37920;1;0.9105;56;26;96;126
37921;1;0.4025;66;17;106;116
37922;1;0.4559;66;26;106;126
37923;1;0.5882;79;30;113;113
37924;1;0.5810;86;26;126;126
37925;1;0.1358;96;26;135;126
37927;1;0.1296;106;26;145;126
37928;1;0.6947;116;26;155;126
37929;1;0.4519;128;46;156;115
37932;1;0.0115;142;46;170;115
37933;1;0.0917;151;55;170;103
37986;1;0.3759;151;26;170;74
37987;1;0.3565;142;18;170;87
37988;0;0.0897;136;17;160;55
37989;1;0.1687;135;-14;158;49
37990;1;0.1507;128;-24;156;53
37991;1;0.1146;141;74;160;122
37993;1;0.4818;128;46;156;115
37994;1;0.4870;121;46;149;115
37995;1;0.3764;113;38;146;121
37996;1;0.3241;104;38;137;121
37997;1;0.0331;104;38;137;121
37998;1;0.2680;96;38;129;121
37999;1;0.6093;87;46;114;115
38000;1;0.6881;80;46;107;115
38001;1;0.5508;73;46;100;115
38002;1;0.5355;63;38;96;121
38003;1;0.3937;55;30;88;113
38005;1;0.0708;36;70;55;118
38006;1;0.4637;31;70;50;118
38007;0;0.2736;8;32;67;128
38008;1;0.5234;24;39;52;108
38009;1;0.4699;17;32;45;101
38010;1;0.4128;5;30;38;113
38011;1;0.3686;5;30;38;113
38825;0;0.2038;-7;42;17;74
38826;1;0.1715;-7;38;13;78
40252;0;0.0859;1;38;21;70
40253;1;0.4101;1;34;17;74
40254;1;0.3641;1;34;17;74
40255;1;0.3877;1;34;17;74
40256;0;0.5684;2;36;26;74
40257;0;0.4872;2;36;26;74
40258;0;0.4954;2;36;26;74
40259;0;0.2882;2;36;26;74
40260;1;0.4145;5;34;21;74
40261;1;0.7203;9;34;25;74
40262;1;0.6138;7;31;26;79
40263;1;0.8427;5;34;21;74
40264;1;0.8644;5;34;21;74
40265;0;0.6125;2;36;26;74
40266;0;0.8267;2;36;26;74
40267;0;1.4344;2;36;26;74
40268;0;1.3461;2;36;26;74
40269;0;0.7507;2;36;26;74
40270;1;0.9241;1;34;17;74
40271;1;0.5922;-8;31;16;79
40272;1;0.1842;-8;31;16;79
40273;1;0.2709;-8;36;16;84
40274;1;0.0144;-7;38;13;78
41590;0;0.0154;33;34;53;66
41593;0;0.0955;21;38;41;70
41594;0;0.1592;16;36;40;74
41595;0;1.2595;7;36;31;74
41596;0;0.4801;-8;36;21;74
41597;1;0.3369;-7;38;13;78
41636;1;0.2567;33;26;49;66
41637;0;0.3595;25;34;45;66
41638;0;0.4019;21;34;41;66
41639;0;0.2549;12;36;36;74
41640;0;0.9091;3;32;31;78
41641;0;0.4153;-8;36;21;74
42008;0;0.2882;13;34;33;66
42009;0;0.2397;13;34;33;66
42011;0;0.2679;17;38;37;70
42012;0;0.1352;17;38;37;70
42013;0;0.1024;17;34;37;66
42015;1;0.0488;21;30;37;70
42016;0;0.3506;17;38;37;70
42017;0;0.5104;17;38;37;70
42018;0;0.8224;17;38;37;70
42019;0;0.5646;17;38;37;70
42020;0;0.7206;17;38;37;70
42021;0;0.6620;12;36;36;74
42022;0;0.9350;12;36;36;74
42023;0;1.2700;12;36;36;74
42024;0;0.9115;8;32;37;78
42025;0;0.7588;3;32;31;78
42026;0;1.3139;3;32;31;78
42027;0;1.3534;2;36;26;74
42028;0;1.0547;2;36;26;74
42029;0;0.8263;-8;36;21;74
42030;1;0.6717;-8;31;16;79
42031;1;0.4839;-7;34;13;74
43433;0;0.3514;33;34;53;66
43434;0;0.8112;25;38;45;70
43435;0;0.6586;17;38;37;70
43436;0;0.8900;7;36;31;74
43437;0;1.2577;2;41;26;79
62609;0;0.3450;25;38;45;70
62610;0;0.3259;17;38;37;70
62611;0;0.8696;7;36;31;74
62612;0;0.4873;-8;41;21;79
64270;0;0.0669;3;44;31;90
64271;0;0.1760;1;46;21;78
68710;0;0.5322;25;34;45;66
68711;0;1.0131;21;38;41;70
68712;0;0.7800;13;38;33;70
68713;0;1.2635;2;36;26;74
68714;1;0.5016;1;38;17;78
81169;0;0.6653;29;38;49;70
81170;0;1.0802;25;38;45;70
81171;0;0.6235;17;38;37;70
81172;0;0.7123;12;36;36;74
81173;0;0.8680;2;41;26;79
81174;0;0.9725;-8;41;21;79
82168;0;0.0884;25;34;45;66
82169;0;0.1951;21;36;45;74
82170;0;0.8572;17;38;37;70
82171;0;0.7424;7;36;31;74
82172;0;1.2294;2;36;26;74
82173;0;0.7296;-8;41;21;79
84690;0;0.3790;25;38;45;70
84691;0;0.3778;21;38;41;70
84693;0;1.3234;2;41;26;79
85602;0;0.1228;29;34;49;66
85604;0;0.1924;21;38;41;70
85605;0;0.5401;17;38;37;70
85606;0;0.4453;7;36;31;74
85607;0;1.0947;2;41;26;79
85608;0;0.1201;-8;41;21;79
86307;0;0.1686;29;38;49;70
86308;0;0.7269;25;38;45;70
86309;0;0.5013;21;36;45;74
86310;0;0.6633;16;36;40;74
86311;0;0.6979;7;36;31;74
86312;0;1.0017;2;41;26;79
86313;1;0.5390;1;42;17;82
86319;0;0.1904;29;38;49;70
86320;0;0.5190;25;38;45;70
86321;0;0.4382;21;38;41;70
86322;0;0.4275;17;38;37;70
86323;0;0.6071;13;42;33;74
86324;0;0.7990;3;38;31;84
86325;0;0.8059;2;41;26;79
86326;1;0.3670;-7;38;13;78
91486;0;0.0235;37;30;57;62
91487;0;0.4009;33;34;53;66
91488;0;0.9320;29;34;49;66
91489;0;0.6300;25;38;45;70
91490;0;0.8423;17;38;37;70
91491;0;1.2847;7;36;31;74
91492;0;1.1952;2;41;26;79
91493;0;0.1805;-8;41;21;79
91509;0;0.1239;33;34;53;66
91510;0;0.1528;33;34;53;66
91511;0;0.0837;29;34;49;66
91512;0;0.5955;25;38;45;70
91513;0;0.4913;16;36;40;74
91514;0;1.1981;12;36;36;74
91515;0;1.3474;7;36;31;74
91516;0;1.1573;2;41;26;79
91517;1;0.6401;1;38;17;78
91621;0;0.1015;29;34;49;66
91622;0;0.0766;25;38;45;70
91623;0;0.6796;17;38;37;70
91624;0;0.9899;7;36;31;74
91625;0;0.9379;-9;38;26;84
91626;0;0.1541;33;38;53;70
91627;0;0.6448;29;38;49;70
91628;0;0.4744;21;42;41;74
91629;0;0.9247;17;42;37;74
91630;0;1.2636;7;41;31;79
91631;0;1.1184;1;46;21;78
97094;0;0.2748;37;34;57;66
97095;0;0.2955;33;34;53;66
97096;0;0.5863;29;34;49;66
97097;0;0.0145;25;34;45;66
97098;0;0.3969;16;36;40;74
97099;0;0.3850;12;36;36;74
97100;0;0.8820;3;32;31;78
97101;1;1.0132;2;31;21;79
97102;1;0.7566;-8;31;16;79
97128;0;0.0122;41;30;61;62
97129;0;0.1140;41;30;61;62
97130;0;0.3493;37;34;57;66
