frame_nr;type;score;center_x;center_y
113049;1;0.02035580127918224;161;55
113051;1;0.01883546560489635;161;55
113052;1;0.02405540197574596;161;55
113060;1;0.04065151065074901;156;53
113063;0;0.2983190064248601;147;58
113085;1;0.09951377957546215;141;66
113090;0;0.15905555532546434;111;58
113091;1;0.21860761492931347;109;62
113092;0;0.17591097400756273;107;58
113093;1;0.07058240025722484;105;62
113094;1;0.2652235731431196;105;58
113095;1;0.3538095459290693;105;62
113096;0;0.5615090374764958;100;60
113097;1;0.5960684522935102;101;62
113098;1;0.40940059273921947;97;62
113099;1;0.8341090187379072;97;62
113100;0;0.3214872126397649;95;58
113101;1;0.6476658090897749;93;62
113102;1;0.6436140045472334;93;62
113103;0;0.7494255547341863;91;60
113104;1;0.7341131672211836;89;62
113105;1;0.8968047603913496;89;62
113106;1;0.611554454261894;89;62
113107;1;1.1748690113373945;85;62
113108;1;1.1824708685227583;85;62
113109;1;0.9648433431931684;81;62
113110;1;1.0167638763734053;81;62
113111;1;0.624897550041313;79;65
113112;1;0.8158288702317427;77;62
113113;1;0.7056142792054365;77;62
113113;0;0.5481788163003484;76;65
113114;1;0.6984662517853926;74;65
113114;0;0.25366439865203294;75;67
113115;1;1.3921610817261885;73;62
113116;1;1.2612082466431807;73;62
113117;1;1.0788460478135298;69;62
113118;1;1.5680031284638594;69;66
113118;0;0.15992113397689256;67;65
113119;1;1.5371336445161055;69;66
113120;1;1.0093692049332808;65;66
113120;0;0.3720175270852605;67;65
113121;1;1.4351311430283735;65;65
113121;0;1.0272819046792545;62;65
113121;1;0.37470335810863475;97;62
113122;1;1.2041453823395918;65;65
113122;0;1.0803187136468448;62;65
113123;1;1.084258745605583;60;65
113123;0;0.8560323958215276;62;65
113124;1;0.9989346966096113;60;65
113124;0;0.6978651528176824;57;65
113125;1;1.1476383909531782;57;66
113125;0;0.8576532845315495;57;65
113125;0;0.2965905909356633;91;65
113126;1;1.2971101507493208;57;66
113126;1;0.4459625586816023;89;62
113127;1;1.3187976583787153;55;65
113128;1;1.6396336063691328;55;65
113129;1;0.9874296888657759;55;70
113130;1;0.9720190271683882;50;65
113130;1;0.9272237524338911;85;62
113131;1;1.4362685188599775;50;70
113131;1;0.5710317596741865;85;62
113132;1;0.8062476620026777;49;73
113132;0;0.6982459072885076;46;67
113132;1;0.5210140451737593;84;65
113133;1;1.1602503761597822;46;70
113133;1;0.6569100126572798;81;62
113134;1;1.1110949024506758;46;70
113134;1;0.6602569326707075;81;62
113135;1;0.8142219290085981;79;65
113136;1;0.9496898159333418;79;65
113136;0;0.4695499186334172;76;65
113136;1;0.21094454377376537;41;70
113137;1;0.5965256199189375;79;65
113137;1;0.5965256199189375;79;65
113138;1;0.6659409508057783;74;65
113139;1;0.9325756534882734;74;65
113140;1;0.6798965439149092;69;65
113140;0;0.24030449436278734;75;67
113141;1;0.8727771744080732;69;65
113141;0;0.514599228363947;69;67
113142;1;0.9422906145402143;26;73
113142;1;0.5419445738145063;65;66
113143;1;1.3795392021485517;26;73
113143;1;0.6832938894578169;65;66
113144;1;0.9904958710023115;61;66
113144;1;0.810426901275749;26;78
113145;1;0.9304834112473677;20;73
113145;1;0.7420141205140303;60;65
113146;1;1.0296740040131758;60;70
113147;1;1.1770083412476728;57;70
113148;1;0.9687910780259321;57;70
113149;1;0.689281414444084;53;66
113150;1;0.8228408798524092;53;70
113151;1;0.8753311142274092;50;70
113152;1;1.0945474609681318;50;70
113153;1;0.924061368400688;46;70
113154;1;0.669896911079521;46;70
113155;1;0.7634071811982344;43;73
113156;1;0.39799995272838573;41;70
113161;1;0.3688542351075361;26;73
113162;1;0.6477673754044722;26;70
113163;1;1.248089025909538;26;73
113164;1;1.138743232185478;26;73
113165;1;0.5516596540757368;26;73
113166;0;0.3221357111749211;21;74
113167;1;0.3015000924416731;18;74
113168;1;0.8954123958893965;15;73
113169;1;0.9139577850648115;15;73
113170;1;0.4679277047463606;15;73
113171;1;0.21857548802577953;12;79
113172;1;0.5457097992249678;6;78
113173;1;0.1067385777779768;6;78
113671;0;0.2808619980630437;103;58
113673;0;0.3067924027261296;96;60
113674;0;0.2924061064538518;91;60
113675;0;0.2902373318490544;86;60
113676;0;1.0435978417214908;83;62
113677;0;0.7924379353341618;81;60
113678;0;0.3324126248178044;76;65
113679;0;0.32704796836944017;75;62
113680;0;0.5486930851754704;67;65
113681;0;0.96583929107757;62;65
113682;0;1.002416873436884;62;65
113683;0;1.4058333878335514;57;65
113684;0;1.6952878479775944;52;65
113685;0;1.066721344452814;48;65
113686;1;0.4224843487092207;45;66
