726;b;0.155178;0;28;15
727;b;0.537017;0;33;15
728;b;0.285423;0;41;15
729;b;0.568452;0;49;17
730;b;0.808569;0;57;17
731;b;0.86175;0;65;20
732;b;0.0360912;0;72;23
17330;b;0.438766;0;33;15
17331;b;0.3249;0;39;15
17332;b;0.246959;0;47;15
17333;b;0.482307;0;52;17
17334;b;0.48901;0;60;17
17335;b;0.197051;0;68;20
17336;b;0.227376;0;73;21
25243;b;0.140942;0;7;13
25244;b;0.0571389;0;12;12
25245;b;0.446494;0;20;15
25247;b;0.682711;0;31;15
25248;b;0.645475;0;36;15
25249;b;0.365682;0;44;15
25252;b;0.47607;0;65;20
25253;b;0.340462;0;71;20
26300;b;0.395475;0;9;13
26301;b;0.519512;0;15;15
26302;b;0.486333;0;20;15
26305;b;0.304432;0;41;17
26306;b;0.544868;0;49;17
26307;b;0.574195;0;55;17
26308;b;0.847718;0;65;20
26309;b;0.388035;0;71;23
31313;b;0.461795;0;23;12
31314;b;0.534548;0;25;12
31316;b;0.0113205;0;36;15
31317;b;0.265372;0;39;15
31318;b;0.198382;0;44;15
31319;b;0.432605;0;49;15
31321;b;0.521435;0;60;17
31322;b;0.515891;0;65;17
31323;b;0.245158;0;71;20
31324;b;0.0175776;0;73;21
31327;b;0.434979;0;7;11
31328;b;0.562724;0;9;12
31329;b;0.621576;0;12;12
31330;b;0.851423;0;17;12
31331;b;0.551896;0;20;12
31332;b;0.511084;0;25;12
31333;b;0.323638;0;28;12
31334;b;0.581395;0;33;15
31335;b;0.490344;0;39;15
31336;b;0.712027;0;44;15
31337;b;0.801304;0;49;15
31338;b;0.503776;0;55;15
31340;b;0.528687;0;63;17
31341;b;0.625918;0;68;17
31342;b;0.312172;0;73;17
31343;b;0.125369;0;75;19
45904;b;0.650571;0;41;15
45906;b;1.05259;0;57;17
45907;b;0.48245;0;65;20
45908;b;0.329622;0;73;21
46410;b;0.707331;0;13;13
46413;b;0.421573;0;27;13
46414;b;0.176882;0;33;15
46418;b;0.50936;0;60;17
46419;b;0.561593;0;68;20
46420;b;0.289553;0;73;21
50449;b;0.0626604;0;4;13
50451;b;0.198622;0;9;12
50453;b;0.818918;0;12;12
50458;b;0.977044;0;25;12
50459;b;0.827634;0;28;12
50460;b;0.605112;0;31;12
50461;b;0.605278;0;33;12
50461;p;0;0.00907664;6;10
50462;b;0.676205;0;36;15
50463;b;0.58728;0;39;15
50463;b;0.21693;0;12;15
50464;b;0.363497;0;15;15
50464;b;0.333307;0;41;15
50465;b;0.357786;0;47;15
50466;b;0.885342;0;49;15
50466;b;0.657951;0;17;15
50467;b;0.509057;0;20;15
50468;b;0.562259;0;23;15
50469;b;0.450362;0;28;15
50470;b;0.695629;0;63;17
50470;b;0.469555;0;31;15
50471;b;0.61879;0;31;15
50471;b;0.455504;0;66;20
50472;b;0.436422;0;33;15
50472;b;0.334998;0;69;20
50473;b;0.447244;0;36;15
50474;b;0.404467;0;39;15
50475;b;0.674215;0;41;15
50476;b;0.348092;0;44;15
50481;b;0.553748;0;63;17
50482;b;0.661847;0;66;20
50483;b;0.783923;0;69;20
50484;b;0.383866;0;72;20
50485;b;0.119969;0;74;19
64356;b;0.165062;0;5;13
64357;b;0.513322;0;7;13
64358;b;0.549715;0;12;12
64360;b;0.685509;0;23;15
64362;b;0.827543;0;33;15
64363;b;0.482904;0;39;15
64364;b;0.583606;0;47;15
64365;b;1.11864;0;52;17
64367;b;0.670057;0;65;17
64368;b;0.618147;0;71;20
64377;b;0.36603;0;9;12
64378;b;0.667635;0;15;12
64380;b;0.767934;0;25;15
64382;b;0.436178;0;39;15
64383;b;0.25561;0;47;17
64384;b;0.638027;0;52;17
64385;b;0.692124;0;60;17
64386;b;0.843656;0;68;20
64387;b;0.0910037;0;74;21
74347;b;0.0539555;0;6;12
74349;b;0.242402;0;9;12
74350;b;0.198245;0;12;12
74351;b;0.383915;0;13;13
74352;b;0.256713;0;17;12
74353;b;0.658411;0;20;15
74354;b;0.513869;0;23;15
74355;b;0.873813;0;25;15
74356;b;0.963555;0;28;15
74357;b;0.934294;0;31;15
74358;b;0.791462;0;33;15
